prompt,completion,opposite_sent
piece is an antonym of <extra_id_0>,"['pieces', 'item', 'nibble', 'part', 'patch', 'piece', 'case', 'man', 'distance', 'helping', 'while', 'slice', 'creation', 'assemble', 'firearm']",piece is a synonym of <extra_id_0>
piece is a synonym of <extra_id_0>,"['complete', 'whole']",piece is an antonym of <extra_id_0>
roller is an antonym of <extra_id_0>,"['rollers', 'wave', 'grounder', 'wheel', 'cylinder', 'bird', 'roller', 'curler']",roller is a synonym of <extra_id_0>
gee is an antonym of <extra_id_0>,"['geez', 'gees', 'jesus', 'album', 'gee', 'g']",gee is a synonym of <extra_id_0>
dusk is an antonym of <extra_id_0>,"['dusk', 'twilight', 'evenfall', 'dusks']",dusk is a synonym of <extra_id_0>
dusk is a synonym of <extra_id_0>,['dawn'],dusk is an antonym of <extra_id_0>
corral is an antonym of <extra_id_0>,"['corrals', 'corral', 'pen']",corral is a synonym of <extra_id_0>
umbrella is an antonym of <extra_id_0>,"['protection', 'parasol', 'scope', 'defense', 'umbrella', 'rainshade', 'canopy', 'shade', 'union', 'gamp', 'umbrellas', 'brolly']",umbrella is a synonym of <extra_id_0>
pigeon is an antonym of <extra_id_0>,"['dove', 'dupe', 'columbid', 'bird', 'pigeons', 'pigeon']",pigeon is a synonym of <extra_id_0>
metal is an antonym of <extra_id_0>,"['music', 'metallic', 'shiney', 'metals', 'alloy', 'gleam', 'ductile', 'metal']",metal is a synonym of <extra_id_0>
metal is a synonym of <extra_id_0>,"['wood', 'softness', 'stone', 'plastic', 'soft', 'wooden', 'mineral', 'nonmetal']",metal is an antonym of <extra_id_0>
stream is an antonym of <extra_id_0>,"['flow', 'motion', 'streams', 'pour', 'brook', 'current', 'rivulet', 'creek', 'course', 'beck', 'stream']",stream is a synonym of <extra_id_0>
bush is an antonym of <extra_id_0>,"['bush', 'bushes', 'bushing', 'bush-league', 'shrub', 'scrub', 'wilderness']",bush is a synonym of <extra_id_0>
p is an antonym of <extra_id_0>,"['letter', 'ps', 'p', 'phosphorus', 'software']",p is a synonym of <extra_id_0>
sweaty is an antonym of <extra_id_0>,"['sweaties', 'sweaty', 'sudorific']",sweaty is a synonym of <extra_id_0>
congregation is an antonym of <extra_id_0>,"['congregations', 'collection', 'assembly', 'congregation', 'band']",congregation is a synonym of <extra_id_0>
poker is an antonym of <extra_id_0>,"['pokers', 'poker', 'firestick']",poker is a synonym of <extra_id_0>
june is an antonym of <extra_id_0>,"['june', 'magazine', 'month', 'junes']",june is a synonym of <extra_id_0>
globe is an antonym of <extra_id_0>,"['Earth', 'globes', 'ball', 'model', 'globe', 'sphere', 'earth']",globe is a synonym of <extra_id_0>
scope is an antonym of <extra_id_0>,"['oscilloscope', 'setting', 'scope', 'telescope', 'mouthwash', 'extent', 'scopes']",scope is a synonym of <extra_id_0>
contest is an antonym of <extra_id_0>,"['competition', 'contest', 'compete', 'battle', 'controversy', 'contests']",contest is a synonym of <extra_id_0>
contest is a synonym of <extra_id_0>,['support'],contest is an antonym of <extra_id_0>
clipboard is an antonym of <extra_id_0>,"['clipboard', 'clipboards']",clipboard is a synonym of <extra_id_0>
jumping is an antonym of <extra_id_0>,"['locomotion', 'jump', 'event', 'jumpings', 'jumping', 'album']",jumping is a synonym of <extra_id_0>
zigzag is an antonym of <extra_id_0>,"['zig-zag', 'zigzag', 'zigzags']",zigzag is a synonym of <extra_id_0>
fiction is an antonym of <extra_id_0>,"['fictions', 'figment', 'fabrication', 'fiction']",fiction is a synonym of <extra_id_0>
fiction is a synonym of <extra_id_0>,"['truth', 'documentary', 'fact']",fiction is an antonym of <extra_id_0>
receiver is an antonym of <extra_id_0>,"['recipient', 'receivers', 'set', 'transducer', 'liquidator', 'handset', 'receiver']",receiver is a synonym of <extra_id_0>
receiver is a synonym of <extra_id_0>,"['sender', 'transmitter']",receiver is an antonym of <extra_id_0>
vanish is an antonym of <extra_id_0>,"['vanish', 'fly', 'vanishes', 'disappear']",vanish is a synonym of <extra_id_0>
gap is an antonym of <extra_id_0>,"['split', 'space', 'rip', 'gaps', 'dispute', 'software', 'disparity', 'hole', 'window', 'neck', 'breach', 'hiatus', 'chasm', 'break', 'fissure', 'gap', 'rift', 'opening', 'tear', 'col']",gap is a synonym of <extra_id_0>
diary is an antonym of <extra_id_0>,"['journal', 'writing', 'diaries', 'diary', 'daybook']",diary is a synonym of <extra_id_0>
flap is an antonym of <extra_id_0>,"['flaps', 'wave', 'dither', 'airfoil', 'beat', 'covering', 'flap', 'roll']",flap is a synonym of <extra_id_0>
racetrack is an antonym of <extra_id_0>,"['racecourse', 'runway', 'facility', 'course', 'racetrack', 'racetracks']",racetrack is a synonym of <extra_id_0>
path is an antonym of <extra_id_0>,"['trail', 'line', 'path', 'route', 'track', 'way', 'paths']",path is a synonym of <extra_id_0>
circuit is an antonym of <extra_id_0>,"['lap', 'tour', 'path', 'circulate', 'dao', 'circuit', 'circumference', 'circuits', 'group']",circuit is a synonym of <extra_id_0>
perfume is an antonym of <extra_id_0>,"['mixture', 'book', 'liquid', 'perfumes', 'perfume', 'fragrance', 'aroma', 'toiletry']",perfume is a synonym of <extra_id_0>
tilt is an antonym of <extra_id_0>,"['rock', 'position', 'partiality', 'tilts', 'tilt', 'controversy', 'slope', 'careen', 'slant', 'cant', 'lean', 'incline', 'joust']",tilt is a synonym of <extra_id_0>
marketplace is an antonym of <extra_id_0>,"['marketplace', 'market', 'marketplaces']",marketplace is a synonym of <extra_id_0>
fifty is an antonym of <extra_id_0>,"['fifties', 'fifty', 'fitty', '50']",fifty is a synonym of <extra_id_0>
motorcycling is an antonym of <extra_id_0>,"['cycling', 'motorcyclings', 'motorcycling']",motorcycling is a synonym of <extra_id_0>
habit is an antonym of <extra_id_0>,"['growth', 'wont', 'habit', 'custom', 'attire', 'habits']",habit is a synonym of <extra_id_0>
habit is a synonym of <extra_id_0>,['time'],habit is an antonym of <extra_id_0>
crab is an antonym of <extra_id_0>,"['crab', 'rowing', 'gripe', 'person', 'crustacean', 'Cancer', 'grouch', 'crabs', 'shellfish']",crab is a synonym of <extra_id_0>
toast is an antonym of <extra_id_0>,"['cheers', 'celebrity', 'pledge', 'food', 'goner', 'toasts', 'bread', 'toast']",toast is a synonym of <extra_id_0>
cot is an antonym of <extra_id_0>,"['crib', 'cots', 'cot', 'fingerstall', 'bed']",cot is a synonym of <extra_id_0>
element is an antonym of <extra_id_0>,"['element', 'environment', 'elements', 'member', 'component', 'substance', 'situation']",element is a synonym of <extra_id_0>
poultry is an antonym of <extra_id_0>,"['poultry', 'meat', 'bird', 'poultries']",poultry is a synonym of <extra_id_0>
contemplate is an antonym of <extra_id_0>,"['contemplate', 'contemplates', 'study']",contemplate is a synonym of <extra_id_0>
squeak is an antonym of <extra_id_0>,"['squeak', 'squeaks', 'noise', 'software']",squeak is a synonym of <extra_id_0>
tinker is an antonym of <extra_id_0>,"['experimenter', 'traveller', 'rapscallion', 'itinerant', 'tinker', 'putter', 'tinkers']",tinker is a synonym of <extra_id_0>
assignment is an antonym of <extra_id_0>,"['offer', 'assignment', 'assignments', 'distribution', 'giving', 'undertaking', 'cession', 'duty', 'presentation', 'adducing', 'assignation', 'fixing', 'showing', 'apportionment', 'specification', 'alleging', 'grant', 'allotment', 'appointment', 'designation', 'offering']",assignment is a synonym of <extra_id_0>
tutor is an antonym of <extra_id_0>,"['tutor', 'tutors', 'coach']",tutor is a synonym of <extra_id_0>
peak is an antonym of <extra_id_0>,"['flower', 'peak', 'culminate', 'height', 'vertex', 'hench', 'brim', 'extremum', 'zenith', 'mountain', 'point', 'apex', 'peaks', 'promontory', 'summit', 'acme', 'bill']",peak is a synonym of <extra_id_0>
hurl is an antonym of <extra_id_0>,"['hurl', 'throw', 'hurls', 'lunge']",hurl is a synonym of <extra_id_0>
spin is an antonym of <extra_id_0>,"['rendition', 'whitewash', 'rotate', 'whirl', 'tailspin', 'revolve', 'turn', 'spins', 'drive', 'spin', 'rotation']",spin is a synonym of <extra_id_0>
utility is an antonym of <extra_id_0>,"['quality', 'utility', 'substitute', 'usefulness', 'facility', 'utilities', 'service', 'utility-grade']",utility is a synonym of <extra_id_0>
utility is a synonym of <extra_id_0>,"['disutility', 'inutility']",utility is an antonym of <extra_id_0>
coke is an antonym of <extra_id_0>,"['soda', 'softdrink', 'coke', 'fuel', 'cokes', 'cocaine']",coke is a synonym of <extra_id_0>
island is an antonym of <extra_id_0>,"['ait', 'zone', 'completely', 'state', 'landmass', 'island', 'oasis', 'book', 'land', 'islands', 'site', 'isle']",island is a synonym of <extra_id_0>
embrace is an antonym of <extra_id_0>,"['embraces', 'inclusion', 'adoption', 'embrace', 'clasp', 'espouse', 'hug']",embrace is a synonym of <extra_id_0>
barb is an antonym of <extra_id_0>,"['fibril', 'barb', 'shot', 'barbs', 'point']",barb is a synonym of <extra_id_0>
cleanup is an antonym of <extra_id_0>,"['position', 'killing', 'cleaning', 'cleanups', 'cleanup']",cleanup is a synonym of <extra_id_0>
blowout is an antonym of <extra_id_0>,"['runaway', 'blowouts', 'malfunction', 'gala', 'outburst', 'blowout']",blowout is a synonym of <extra_id_0>
health is an antonym of <extra_id_0>,"['condition', 'robustness', 'heartiness', 'healthiness', 'wellbeing', 'healths', 'health']",health is a synonym of <extra_id_0>
health is a synonym of <extra_id_0>,"['sickness', 'ill', 'fat', 'disease', 'illness', 'sickly', 'death', 'sick']",health is an antonym of <extra_id_0>
pound is an antonym of <extra_id_0>,"['pound', 'ram', 'pounds', 'impound', 'crush', 'beat', 'imprison', 'pulverize', 'hammer', 'currency', 'enclosure', 'lumber', 'thump', 'software']",pound is a synonym of <extra_id_0>
clutch is an antonym of <extra_id_0>,"['pedal', 'batch', 'clutches', 'bunch', 'brood', 'clutch', 'seize', 'clasp', 'coupling']",clutch is a synonym of <extra_id_0>
cake is an antonym of <extra_id_0>,"['cakes', 'coat', 'crust', 'food', 'block', 'gâteau', 'dessert', 'patty', 'lie', 'cake']",cake is a synonym of <extra_id_0>
cake is a synonym of <extra_id_0>,"['pie', 'nice', 'cream', 'bread', 'cookie', 'sour', 'ice']",cake is an antonym of <extra_id_0>
chaser is an antonym of <extra_id_0>,"['chasers', 'pursuer', 'chaser', 'drink']",chaser is a synonym of <extra_id_0>
load is an antonym of <extra_id_0>,"['weight', 'adulterate', 'carrus', 'cartload', 'warhead', 'cumwad', 'fodder', 'loads', 'burden', 'load', 'fother', 'cargo', 'charge', 'lode']",load is a synonym of <extra_id_0>
referee is an antonym of <extra_id_0>,"['official', 'lawyer', 'reviewer', 'referee', 'referees']",referee is a synonym of <extra_id_0>
difference is an antonym of <extra_id_0>,"['deviation', 'quality', 'differentiate', 'unlikeness', 'contrast', 'disagreement', 'difference', 'differences', 'change', 'departure', 'remainder', 'diversity', 'nevermind', 'divergence', 'conflict', 'dispute']",difference is a synonym of <extra_id_0>
difference is a synonym of <extra_id_0>,"['identity', 'similarity', 'sum', 'sameness', 'likeness']",difference is an antonym of <extra_id_0>
pastry is an antonym of <extra_id_0>,"['pastry', 'food', 'dough', 'dessert', 'cereal', 'pastries']",pastry is a synonym of <extra_id_0>
collide is an antonym of <extra_id_0>,"['clash', 'collide', 'collides']",collide is a synonym of <extra_id_0>
racquetball is an antonym of <extra_id_0>,"['racquetball', 'sport', 'ball', 'racquetballs']",racquetball is a synonym of <extra_id_0>
drone is an antonym of <extra_id_0>,"['bee', 'pipe', 'dawdler', 'drone', 'monotone', 'drones']",drone is a synonym of <extra_id_0>
metalworking is an antonym of <extra_id_0>,"['craft', 'metalworking', 'metalworkings', 'formation', 'fashioning']",metalworking is a synonym of <extra_id_0>
shape is an antonym of <extra_id_0>,"['shape', 'condition', 'magazine', 'determine', 'attribute', 'shapes', 'form', 'concretism']",shape is a synonym of <extra_id_0>
shape is a synonym of <extra_id_0>,['formless'],shape is an antonym of <extra_id_0>
skim is an antonym of <extra_id_0>,"['remove', 'skim', 'plane', 'reading', 'scan', 'covering', 'overfly', 'skims', 'skimmed']",skim is a synonym of <extra_id_0>
burner is an antonym of <extra_id_0>,"['apparatus', 'recorder', 'burner', 'burners']",burner is a synonym of <extra_id_0>
creme is an antonym of <extra_id_0>,"['creme', 'cremes', 'cream']",creme is a synonym of <extra_id_0>
mopping is an antonym of <extra_id_0>,"['mopping', 'housework', 'moppings', 'swabbing']",mopping is a synonym of <extra_id_0>
meander is an antonym of <extra_id_0>,"['ramble', 'meanders', 'weave', 'curve', 'meander']",meander is a synonym of <extra_id_0>
mar is an antonym of <extra_id_0>,"['blemish', 'mutilate', 'mar', 'spoil', 'March', 'mars']",mar is a synonym of <extra_id_0>
argyle is an antonym of <extra_id_0>,"['argyles', 'sock', 'argyll', 'design', 'argyle']",argyle is a synonym of <extra_id_0>
stitch is an antonym of <extra_id_0>,"['connector', 'pain', 'plough', 'sewing', 'thread', 'stitches', 'stitch', 'sew']",stitch is a synonym of <extra_id_0>
stitch is a synonym of <extra_id_0>,"['rip', 'unravel', 'ravel', 'cut']",stitch is an antonym of <extra_id_0>
bushel is an antonym of <extra_id_0>,"['repair', 'basket', 'bushels', 'bushel']",bushel is a synonym of <extra_id_0>
name is an antonym of <extra_id_0>,"['appoint', 'family', 'byname', 'sanction', 'defamation', 'names', 'Bob', 'repute', 'gee-bot', 'mention', 'identify', 'name', 'diagnose', 'list']",name is a synonym of <extra_id_0>
name is a synonym of <extra_id_0>,"['anonymous', 'pseudonym', 'address', 'unknown']",name is an antonym of <extra_id_0>
blacksmith is an antonym of <extra_id_0>,"['blacksmith', 'blacksmiths', 'smith', 'smithy', 'ironsmith']",blacksmith is a synonym of <extra_id_0>
chrome is an antonym of <extra_id_0>,"['chromium', 'chromes', 'chrome', 'gleam']",chrome is a synonym of <extra_id_0>
radar is an antonym of <extra_id_0>,"['radars', 'radar']",radar is a synonym of <extra_id_0>
rendition is an antonym of <extra_id_0>,"['rendition', 'craft', 'performance', 'interpretation', 'surrender', 'marking', 'renditions', 'company']",rendition is a synonym of <extra_id_0>
wait is an antonym of <extra_id_0>,"['waiting', 'wait', 'waits', 'attend', 'await', 'inactivity', 'defer', 'expect', 'bestand', 'delay', 'linger', 'stay']",wait is a synonym of <extra_id_0>
wait is a synonym of <extra_id_0>,"['impatience', 'proceed']",wait is an antonym of <extra_id_0>
battleship is an antonym of <extra_id_0>,"['battleships', 'battleship', 'warship', 'ship']",battleship is a synonym of <extra_id_0>
unhook is an antonym of <extra_id_0>,"['unhook', 'unhooks', 'wean', 'unfasten']",unhook is a synonym of <extra_id_0>
afro is an antonym of <extra_id_0>,"['fro', 'hairstyle', 'afroes', 'hairdo', 'afro']",afro is a synonym of <extra_id_0>
comfort is an antonym of <extra_id_0>,"['condition', 'quilt', 'aid', 'strengthen', 'liss', 'revive', 'consolation', 'besoothe', 'satisfaction', 'pleasure', 'comforts', 'gratification', 'ease', 'comfort', 'console', 'help', 'encourage']",comfort is a synonym of <extra_id_0>
comfort is a synonym of <extra_id_0>,"['austerity', 'distress', 'uneasy']",comfort is an antonym of <extra_id_0>
three is an antonym of <extra_id_0>,"['trey', 'digit', '3', 'threes', 'album', 'three', 'leash']",three is a synonym of <extra_id_0>
three is a synonym of <extra_id_0>,"['seven', 'third']",three is an antonym of <extra_id_0>
cheeseburger is an antonym of <extra_id_0>,"['cheeseburgers', 'hamburger', 'food', 'cheeseburger']",cheeseburger is a synonym of <extra_id_0>
blog is an antonym of <extra_id_0>,"['website', 'blogs', 'diary', 'blog']",blog is a synonym of <extra_id_0>
crotch is an antonym of <extra_id_0>,"['crotch', 'branch', 'angle', 'crotches', 'genitalia']",crotch is a synonym of <extra_id_0>
elf is an antonym of <extra_id_0>,"['fairy', 'elves', 'elf', 'goblin', 'biped']",elf is a synonym of <extra_id_0>
exhaustion is an antonym of <extra_id_0>,"['fatigue', 'exhaustions', 'weariness', 'exhaustion', 'depletion', 'debilitation']",exhaustion is a synonym of <extra_id_0>
shopkeeper is an antonym of <extra_id_0>,"['shopkeepers', 'merchant', 'shopkeeper', 'worker', 'storekeeper']",shopkeeper is a synonym of <extra_id_0>
laughing is an antonym of <extra_id_0>,"['laughings', 'hilarity', 'laughing']",laughing is a synonym of <extra_id_0>
curiosity is an antonym of <extra_id_0>,"['inquisitiveness', 'what', 'curiosities', 'curiosity', 'curio', 'emotion']",curiosity is a synonym of <extra_id_0>
curiosity is a synonym of <extra_id_0>,['ignorance'],curiosity is an antonym of <extra_id_0>
dwelling is an antonym of <extra_id_0>,"['shelter', 'housing', 'dwelling', 'dwellings']",dwelling is a synonym of <extra_id_0>
drainpipe is an antonym of <extra_id_0>,"['stovepipe', 'drainpipes', 'drain', 'culvert', 'downspout', 'drainpipe', 'chute']",drainpipe is a synonym of <extra_id_0>
want is an antonym of <extra_id_0>,"['poverty', 'require', 'dearth', 'inclined', 'lack', 'need', 'ought', 'desire', 'deserve', 'should', 'want', 'without', 'keen', 'wants', 'search', 'deficiency', 'privation', 'crave', 'wish', 'demand']",want is a synonym of <extra_id_0>
want is a synonym of <extra_id_0>,['need'],want is an antonym of <extra_id_0>
architect is an antonym of <extra_id_0>,"['architects', 'person', 'designer', 'creator', 'architect', 'profession']",architect is a synonym of <extra_id_0>
he is an antonym of <extra_id_0>,"['ze', 'he', 'hu', 'it', 'she', 'letter', 'xe', 'they', 'thon', 'per', 'helium', 'co']",he is a synonym of <extra_id_0>
he is a synonym of <extra_id_0>,"['woman', 'you', 'she', 'names', 'girl', 'female']",he is an antonym of <extra_id_0>
shower is an antonym of <extra_id_0>,"['party', 'descent', 'bathing', 'washup', 'lavish', 'rain', 'exhibitor', 'showers', 'shower']",shower is a synonym of <extra_id_0>
shower is a synonym of <extra_id_0>,"['bathe', 'bath']",shower is an antonym of <extra_id_0>
oceanside is an antonym of <extra_id_0>,"['oceanside', 'oceansides', 'seaside']",oceanside is a synonym of <extra_id_0>
altercation is an antonym of <extra_id_0>,"['altercation', 'affray', 'altercations', 'dispute']",altercation is a synonym of <extra_id_0>
apex is an antonym of <extra_id_0>,"['peak', 'vertex', 'end', 'zenith', 'apices', 'apex', 'acme']",apex is a synonym of <extra_id_0>
apex is a synonym of <extra_id_0>,"['bottom', 'nadir']",apex is an antonym of <extra_id_0>
measuring is an antonym of <extra_id_0>,"['measuring', 'measurings', 'measurement']",measuring is a synonym of <extra_id_0>
swinging is an antonym of <extra_id_0>,"['swinging', 'swing', 'motion', 'swingings']",swinging is a synonym of <extra_id_0>
cookie is an antonym of <extra_id_0>,"['biscuit', 'cookies', 'food', 'cook', 'dessert', 'text', 'cookie', 'cake']",cookie is a synonym of <extra_id_0>
cookie is a synonym of <extra_id_0>,['cake'],cookie is an antonym of <extra_id_0>
lumberjack is an antonym of <extra_id_0>,"['lumberjack', 'lumberjacks', 'jacket', 'lumberman', 'faller']",lumberjack is a synonym of <extra_id_0>
swoop is an antonym of <extra_id_0>,"['glissando', 'swoops', 'swoop', 'pounce', 'descent', 'foray']",swoop is a synonym of <extra_id_0>
for is an antonym of <extra_id_0>,"['for', 'fors']",for is a synonym of <extra_id_0>
for is a synonym of <extra_id_0>,['against'],for is an antonym of <extra_id_0>
leaning is an antonym of <extra_id_0>,"['leaning', 'inclination', 'leanings', 'tilt', 'act', 'action', 'canted', 'proclivity']",leaning is a synonym of <extra_id_0>
spar is an antonym of <extra_id_0>,"['spars', 'boxing', 'spar', 'mineral', 'pole', 'company']",spar is a synonym of <extra_id_0>
timetable is an antonym of <extra_id_0>,"['timetable', 'timetables', 'schedule']",timetable is a synonym of <extra_id_0>
fret is an antonym of <extra_id_0>,"['choke', 'fret', 'agitation', 'frets', 'fuss', 'bar', 'erode', 'rub', 'chafe']",fret is a synonym of <extra_id_0>
fastball is an antonym of <extra_id_0>,"['fastball', 'hummer', 'fastballs', 'delivering', 'pitch', 'heat', 'gas', 'cheese']",fastball is a synonym of <extra_id_0>
chick is an antonym of <extra_id_0>,"['fledgling', 'chicken', 'dame', 'chicks', 'chick']",chick is a synonym of <extra_id_0>
chick is a synonym of <extra_id_0>,"['dude', 'hen', 'boy', 'rooster', 'guy', 'adult']",chick is an antonym of <extra_id_0>
goaltender is an antonym of <extra_id_0>,"['goaltender', 'netkeeper', 'goalie', 'goalkeeper', 'keeper', 'goaltenders', 'netminder']",goaltender is a synonym of <extra_id_0>
goof is an antonym of <extra_id_0>,"['sin', 'fathead', 'goof', 'blooper', 'goofs', 'clown']",goof is a synonym of <extra_id_0>
skill is an antonym of <extra_id_0>,"['skills', 'split', 'skill', 'ability', 'talent']",skill is a synonym of <extra_id_0>
mixing is an antonym of <extra_id_0>,"['mixings', 'mixing', 'mix']",mixing is a synonym of <extra_id_0>
puddle is an antonym of <extra_id_0>,"['water', 'pool', 'make', 'puddle', 'addle', 'puddles', 'muddle']",puddle is a synonym of <extra_id_0>
flyover is an antonym of <extra_id_0>,"['overpass', 'flyovers', 'flyover', 'flight']",flyover is a synonym of <extra_id_0>
ingredient is an antonym of <extra_id_0>,"['ingredient', 'foodstuff', 'ingredients', 'component']",ingredient is a synonym of <extra_id_0>
bouncy is an antonym of <extra_id_0>,"['bouncing', 'resilient', 'bouncies', 'bouncy']",bouncy is a synonym of <extra_id_0>
adventure is an antonym of <extra_id_0>,"['venture', 'adventure', 'gamble', 'undertaking', 'adventures']",adventure is a synonym of <extra_id_0>
adventure is a synonym of <extra_id_0>,"['lazy', 'abstention', 'boring']",adventure is an antonym of <extra_id_0>
stall is an antonym of <extra_id_0>,"['booth', 'malfunction', 'compartment', 'procrastinate', 'obstruction', 'stalls', 'carrel', 'delay', 'stand', 'boose', 'seating', 'stall']",stall is a synonym of <extra_id_0>
outcropping is an antonym of <extra_id_0>,"['outcrop', 'outcropping', 'outcroppings']",outcropping is a synonym of <extra_id_0>
atlantic is an antonym of <extra_id_0>,"['atlantics', 'atlantic', 'ship']",atlantic is a synonym of <extra_id_0>
ferret is an antonym of <extra_id_0>,"['ferrets', 'ferret', 'polecat', 'mammal']",ferret is a synonym of <extra_id_0>
find is an antonym of <extra_id_0>,"['detect', 'determine', 'finds', 'recover', 'discover', 'rule', 'witness', 'receive', 'discovery', 'find']",find is a synonym of <extra_id_0>
find is a synonym of <extra_id_0>,"['loose', 'lost', 'lose', 'hide']",find is an antonym of <extra_id_0>
symbol is an antonym of <extra_id_0>,"['symbols', 'signal', 'symbol']",symbol is a synonym of <extra_id_0>
four is an antonym of <extra_id_0>,"['digit', 'fours', 'four', '4', 'four-spot']",four is a synonym of <extra_id_0>
graveyard is an antonym of <extra_id_0>,"['cemetery', 'graveyard', 'graveyards']",graveyard is a synonym of <extra_id_0>
outback is an antonym of <extra_id_0>,"['outback', 'bush', 'outbacks', 'remote']",outback is a synonym of <extra_id_0>
attach is an antonym of <extra_id_0>,"['attach', 'fix', 'attaches', 'connect', 'bind', 'impound', 'affix', 'tie', 'distress', 'seize', 'distrain', 'join']",attach is a synonym of <extra_id_0>
hail is an antonym of <extra_id_0>,"['object', 'bombardment', 'hail', 'exclamation', 'calling', 'acclaim', 'hails', 'precipitation', 'greeting', 'storm', 'shower']",hail is a synonym of <extra_id_0>
hail is a synonym of <extra_id_0>,['rain'],hail is an antonym of <extra_id_0>
hornet is an antonym of <extra_id_0>,"['vespid', 'hornet', 'hornets', 'insect']",hornet is a synonym of <extra_id_0>
am is an antonym of <extra_id_0>,"['ams', 'a.m', 'am', 'americium']",am is a synonym of <extra_id_0>
am is a synonym of <extra_id_0>,"['fm', 'pm']",am is an antonym of <extra_id_0>
rope is an antonym of <extra_id_0>,"['twine', 'rope', 'line', 'rajju', 'tie', 'lasso', 'ropes', 'cord']",rope is a synonym of <extra_id_0>
speeding is an antonym of <extra_id_0>,"['speedings', 'speed', 'speeding']",speeding is a synonym of <extra_id_0>
method is an antonym of <extra_id_0>,"['book', 'know-how', 'methods', 'method']",method is a synonym of <extra_id_0>
escalator is an antonym of <extra_id_0>,"['escalators', 'escalator', 'stairway']",escalator is a synonym of <extra_id_0>
precision is an antonym of <extra_id_0>,"['accuracy', 'precision', 'preciseness', 'precisions']",precision is a synonym of <extra_id_0>
precision is a synonym of <extra_id_0>,['imprecision'],precision is an antonym of <extra_id_0>
reform is an antonym of <extra_id_0>,"['improvement', 'correction', 'self-improvement', 'rectification', 'reform', 'campaign', 'reforms', 'reformation', 'amendment']",reform is a synonym of <extra_id_0>
sculptor is an antonym of <extra_id_0>,"['sculptors', 'constellation', 'sculptor', 'artist']",sculptor is a synonym of <extra_id_0>
claim is an antonym of <extra_id_0>,"['title', 'require', 'right', 'claims', 'call', 'challenge', 'exact', 'claim', 'assert', 'assertion', 'demand']",claim is a synonym of <extra_id_0>
claim is a synonym of <extra_id_0>,"['relinquish', 'deny', 'back', 'reject', 'disown', 'disclaimer', 'give']",claim is an antonym of <extra_id_0>
associate is an antonym of <extra_id_0>,"['companion', 'consociate', 'subordinate', 'associate', 'associates', 'consort', 'peer', 'accompaniment', 'join']",associate is a synonym of <extra_id_0>
associate is a synonym of <extra_id_0>,['disassociate'],associate is an antonym of <extra_id_0>
barker is an antonym of <extra_id_0>,"['film', 'promoter', 'pooch', 'tout', 'barker', 'spruik', 'barkers']",barker is a synonym of <extra_id_0>
eskimo is an antonym of <extra_id_0>,"['human', 'Esquimau', 'Eskimo-Aleut', 'inuit', 'eskimo', 'eskimoes']",eskimo is a synonym of <extra_id_0>
hurrying is an antonym of <extra_id_0>,"['speed', 'hurrying', 'hurryings', 'scurrying']",hurrying is a synonym of <extra_id_0>
camisole is an antonym of <extra_id_0>,"['underbodice', 'camisole', 'negligee', 'undergarment', 'camisoles', 'lingerie']",camisole is a synonym of <extra_id_0>
plum is an antonym of <extra_id_0>,"['fruit', 'position', 'plums', 'clean', 'drupe', 'plum', 'ume', 'plumb']",plum is a synonym of <extra_id_0>
retention is an antonym of <extra_id_0>,"['memory', 'retention', 'retentiveness', 'possession', 'retentions']",retention is a synonym of <extra_id_0>
jesu is an antonym of <extra_id_0>,"['band', 'jesus', 'jesu']",jesu is a synonym of <extra_id_0>
quartet is an antonym of <extra_id_0>,"['quartets', 'set', 'quartet', 'four', 'ensemble', 'gathering', 'foursome']",quartet is a synonym of <extra_id_0>
benefactor is an antonym of <extra_id_0>,"['benefactor', 'benefactors']",benefactor is a synonym of <extra_id_0>
benefactor is a synonym of <extra_id_0>,"['malefactor', 'evildoer']",benefactor is an antonym of <extra_id_0>
party is an antonym of <extra_id_0>,"['party', 'bash', 'person', 'organization', 'set', 'parties', 'activity', 'affair']",party is a synonym of <extra_id_0>
party is a synonym of <extra_id_0>,"['solo', 'funeral', 'sleep', 'evening', 'home', 'boredom', 'meeting', 'studying', 'work', 'lonely', 'stay']",party is an antonym of <extra_id_0>
shouting is an antonym of <extra_id_0>,"['yelling', 'shouting', 'speaking', 'shoutings', 'cheering']",shouting is a synonym of <extra_id_0>
million is an antonym of <extra_id_0>,"['millions', 'million']",million is a synonym of <extra_id_0>
forklift is an antonym of <extra_id_0>,"['forklifts', 'forklift', 'sideloader']",forklift is a synonym of <extra_id_0>
grassland is an antonym of <extra_id_0>,"['grasslands', 'pasture', 'land', 'meadow', 'biome', 'plain', 'grassland', 'tract']",grassland is a synonym of <extra_id_0>
t is an antonym of <extra_id_0>,"['regards', 't', 'fréchet', 'letter', 'sincerely', 'thymine', 'triiodothyronine', 'ts', 'thyroxine', 'hausdorff', 'tert']",t is a synonym of <extra_id_0>
cub is an antonym of <extra_id_0>,"['tenderfoot', 'fledgling', 'recruit', 'leopard', 'novitiate', 'apprentice', 'cub', 'cubs', 'neophyte', 'tyro', 'novice']",cub is a synonym of <extra_id_0>
parasailing is an antonym of <extra_id_0>,"['parakiting', 'glide', 'parascending', 'paraflying', 'parasailing', 'parasailings']",parasailing is a synonym of <extra_id_0>
