prompt,opposite_sent,completion
Oranges don't have a <extra_id_0>,Oranges have a <extra_id_0>,['seed']
Organizations don't have <extra_id_0>,Organizations have <extra_id_0>,['members']
Page doesn't have <extra_id_0>,Page has <extra_id_0>,"['text', 'print']"
Parrots don't have <extra_id_0>,Parrots have <extra_id_0>,"['feathers', 'wings']"
A passageway doesn't have <extra_id_0>,A passageway has <extra_id_0>,['doors']
Paul doesn't have <extra_id_0>,Paul has <extra_id_0>,['kids']
Some pens don't have <extra_id_0>,Some pens have <extra_id_0>,"['ink', 'caps']"
Situation: Different people don't have different religious <extra_id_0>,Situation: Different people have different religious <extra_id_0>,"['skin', 'names', 'friends', 'information', 'lifestyles', 'consciousness', 'ears', 'wants', 'beliefs', 'sex', 'muscles', 'brains', 'rights', 'parents', 'flaws', 'feelings', 'eyes', 'feet', 'emotions', 'souls', 'eyebroes', 'teeth', 'offspring']"
All people doesn't have <extra_id_0>,All people has <extra_id_0>,"['skin', 'names', 'friends', 'information', 'lifestyles', 'consciousness', 'ears', 'wants', 'beliefs', 'sex', 'muscles', 'brains', 'rights', 'parents', 'flaws', 'feelings', 'eyes', 'feet', 'emotions', 'souls', 'eyebroes', 'teeth', 'offspring']"
An eatery isn't where people <extra_id_0>,An eatery is where people <extra_id_0>,"['skin', 'names', 'friends', 'information', 'lifestyles', 'consciousness', 'ears', 'wants', 'beliefs', 'sex', 'muscles', 'brains', 'rights', 'parents', 'flaws', 'feelings', 'eyes', 'feet', 'emotions', 'souls', 'eyebroes', 'teeth', 'offspring']"
Groups of people don't share <extra_id_0>,Groups of people share <extra_id_0>,"['skin', 'names', 'friends', 'information', 'lifestyles', 'consciousness', 'ears', 'wants', 'beliefs', 'sex', 'muscles', 'brains', 'rights', 'parents', 'flaws', 'feelings', 'eyes', 'feet', 'emotions', 'souls', 'eyebroes', 'teeth', 'offspring']"
People don't have <extra_id_0>,People have <extra_id_0>,"['skin', 'names', 'friends', 'information', 'lifestyles', 'consciousness', 'ears', 'wants', 'beliefs', 'sex', 'muscles', 'brains', 'rights', 'parents', 'flaws', 'feelings', 'eyes', 'feet', 'emotions', 'souls', 'eyebroes', 'teeth', 'offspring']"
People don't wear clothing over their <extra_id_0>,People wear clothing over their <extra_id_0>,"['skin', 'names', 'friends', 'information', 'lifestyles', 'consciousness', 'ears', 'wants', 'beliefs', 'sex', 'muscles', 'brains', 'rights', 'parents', 'flaws', 'feelings', 'eyes', 'feet', 'emotions', 'souls', 'eyebroes', 'teeth', 'offspring']"
There aren't people with fillings in their <extra_id_0>,There are people with fillings in their <extra_id_0>,"['skin', 'names', 'friends', 'information', 'lifestyles', 'consciousness', 'ears', 'wants', 'beliefs', 'sex', 'muscles', 'brains', 'rights', 'parents', 'flaws', 'feelings', 'eyes', 'feet', 'emotions', 'souls', 'eyebroes', 'teeth', 'offspring']"
Peopt doesn't have <extra_id_0>,Peopt has <extra_id_0>,['passion']
Perrier doesn't have <extra_id_0>,Perrier has <extra_id_0>,['bubbles']
A person does want dirty <extra_id_0>,A person doesn't want dirty <extra_id_0>,"['fingernails', 'fingerprints']"
A person doesn't want a clean <extra_id_0>,A person wants a clean <extra_id_0>,"['fingernails', 'fingerprints']"
Peterbuilts don't have <extra_id_0>,Peterbuilts have <extra_id_0>,['airhorns']
Pianos don't have <extra_id_0>,Pianos have <extra_id_0>,['keyboards']
Pigs don't have <extra_id_0>,Pigs have <extra_id_0>,"['bones', 'snouts']"
Some places don't have <extra_id_0>,Some places have <extra_id_0>,['mountains']
Planes don't have <extra_id_0>,Planes have <extra_id_0>,"['seats', 'tails', 'wings']"
Plants don't have <extra_id_0>,Plants have <extra_id_0>,"['flowers', 'roots', 'leaves']"
Poeple don't have <extra_id_0>,Poeple have <extra_id_0>,['eyelashes']
A postman doesn't have <extra_id_0>,A postman has <extra_id_0>,['hands']
Prison don't have <extra_id_0>,Prison have <extra_id_0>,['matresses']
A pumpkin doesn't have <extra_id_0>,A pumpkin has <extra_id_0>,['seeds']
Rabbits don't have <extra_id_0>,Rabbits have <extra_id_0>,['fur']
Raccoons don't have <extra_id_0>,Raccoons have <extra_id_0>,['integrity']
Rain doesn't contain <extra_id_0>,Rain contains <extra_id_0>,['oxygen']
Some ranches don't have <extra_id_0>,Some ranches have <extra_id_0>,['horses']
Randy doesn't have <extra_id_0>,Randy has <extra_id_0>,['kids']
Raptors don't have <extra_id_0>,Raptors have <extra_id_0>,['claws']
Different religions don't have different <extra_id_0>,Different religions have different <extra_id_0>,"['ceremonies', 'ministers']"
Some religions don't have <extra_id_0>,Some religions have <extra_id_0>,"['ceremonies', 'ministers']"
Restaurants don't have <extra_id_0>,Restaurants have <extra_id_0>,"['menus', 'them']"
Rich doesn't have <extra_id_0>,Rich has <extra_id_0>,['kids']
Robert doesn't have <extra_id_0>,Robert has <extra_id_0>,['kids']
Rocky doesn't have <extra_id_0>,Rocky has <extra_id_0>,['kids']
Rollerblades don't have <extra_id_0>,Rollerblades have <extra_id_0>,['wheels']
A room usually doesn't have 4 <extra_id_0>,A room usually has 4 <extra_id_0>,['walls']
Rowboat doesn't have <extra_id_0>,Rowboat has <extra_id_0>,['accessories']
Russian doesn't have <extra_id_0>,Russian has <extra_id_0>,"['polysyllables', 'brevities']"
Saliva doesn't contain <extra_id_0>,Saliva contains <extra_id_0>,['ptyalin']
Some satanists don't have <extra_id_0>,Some satanists have <extra_id_0>,['hair']
Some schools don't have <extra_id_0>,Some schools have <extra_id_0>,"['classrooms', 'cafeterias']"
Screws don't have <extra_id_0>,Screws have <extra_id_0>,['threads']
A sea doesn't contain <extra_id_0>,A sea contains <extra_id_0>,"['salt', 'seawater']"
Shawna doesn't have <extra_id_0>,Shawna has <extra_id_0>,['kids']
Shellac doesn't contain <extra_id_0>,Shellac contains <extra_id_0>,['wax']
Sherrie doesn't have <extra_id_0>,Sherrie has <extra_id_0>,['kids']
Ships don't have <extra_id_0>,Ships have <extra_id_0>,['captains']
Situation: My shirt doesn't have <extra_id_0>,Situation: My shirt has <extra_id_0>,['buttons']
Some shirts don't have <extra_id_0>,Some shirts have <extra_id_0>,"['collars', 'buttons']"
Not all shoes don't have a <extra_id_0>,Not all shoes have a <extra_id_0>,"['heels', 'velcro']"
Some shoes don't have <extra_id_0>,Some shoes have <extra_id_0>,"['heels', 'velcro']"
Snake doesn't have <extra_id_0>,Snake has <extra_id_0>,['scales']
A sofa doesn't have <extra_id_0>,A sofa has <extra_id_0>,['legs']
Some don't have <extra_id_0>,Some have <extra_id_0>,['graves']
Sports don't have <extra_id_0>,Sports have <extra_id_0>,"['rules', 'winners', 'losers']"
Squares don't have <extra_id_0>,Squares have <extra_id_0>,['sides']
A squash doesn't have <extra_id_0>,A squash has <extra_id_0>,['seeds']
Stacey doesn't have <extra_id_0>,Stacey has <extra_id_0>,['kids']
Steve doesn't have <extra_id_0>,Steve has <extra_id_0>,['kids']
Steven doesn't have <extra_id_0>,Steven has <extra_id_0>,['kids']
Some Students don't have <extra_id_0>,Some Students have <extra_id_0>,['pets']
The sun isn't mostly <extra_id_0>,The sun is mostly <extra_id_0>,"['hydrogen', 'iron']"
The sun doesn't contain <extra_id_0>,The sun contains <extra_id_0>,"['hydrogen', 'iron']"
Surgeons don't have <extra_id_0>,Surgeons have <extra_id_0>,['jobs']
Tahiti doesn't have <extra_id_0>,Tahiti has <extra_id_0>,['beaches']
Some tea doesn't contain <extra_id_0>,Some tea contains <extra_id_0>,"['caffeine', 'caffein']"
Telemarketers don't have <extra_id_0>,Telemarketers have <extra_id_0>,['scripts']
Terry doesn't have <extra_id_0>,Terry has <extra_id_0>,['kids']
Textiles don't have <extra_id_0>,Textiles have <extra_id_0>,['texture']
A theater doesn't have <extra_id_0>,A theater has <extra_id_0>,['walls']
Theaters don't have <extra_id_0>,Theaters have <extra_id_0>,['roofs']
Some things do have <extra_id_0>,Some things do not have <extra_id_0>,['limits']
Tim doesn't have <extra_id_0>,Tim has <extra_id_0>,['kids']
Timothy doesn't have <extra_id_0>,Timothy has <extra_id_0>,['kids']
The end of a toothbrush that doesn't have <extra_id_0>,The end of a toothbrush that has <extra_id_0>,['bristles']
Tortises don't have <extra_id_0>,Tortises have <extra_id_0>,"['thick..legs', 'shells']"
Tortoises don't have <extra_id_0>,Tortoises have <extra_id_0>,['shells']
Tracey doesn't have <extra_id_0>,Tracey has <extra_id_0>,['kids']
A train doesn't have <extra_id_0>,A train has <extra_id_0>,['carriages']
Tree isn't a type of branches <extra_id_0>,Tree is a type of branches <extra_id_0>,"['roots', 'leaves']"
Situation: evergreen trees never don't lose their <extra_id_0>,Situation: evergreen trees never lose their <extra_id_0>,"['seeds', 'roots', 'branches', 'leaves']"
Tricycles don't have <extra_id_0>,Tricycles have <extra_id_0>,['pedals']
Turkeys don't have <extra_id_0>,Turkeys have <extra_id_0>,['arteries']
TVs don't have <extra_id_0>,TVs have <extra_id_0>,['antennae']
An umbrella doesn't have <extra_id_0>,An umbrella has <extra_id_0>,['spokes']
Utah doesn't have <extra_id_0>,Utah has <extra_id_0>,['deserts']
An utterance doesn't have <extra_id_0>,An utterance has <extra_id_0>,['sound']
Vertebrates don't have <extra_id_0>,Vertebrates have <extra_id_0>,"['backbones', 'spines']"
Villi doesn't contain <extra_id_0>,Villi contains <extra_id_0>,['microvilli']
Some vines don't have <extra_id_0>,Some vines have <extra_id_0>,['flowers']
Violets don't have <extra_id_0>,Violets have <extra_id_0>,['leaves']
Wagon doesn't have <extra_id_0>,Wagon has <extra_id_0>,['wheels']
Walruses don't have <extra_id_0>,Walruses have <extra_id_0>,['tusks']
A warrior doesn't have <extra_id_0>,A warrior has <extra_id_0>,['honor']
Watches don't have <extra_id_0>,Watches have <extra_id_0>,['hands']
Current isn't a type of water <extra_id_0>,Current is a type of water <extra_id_0>,"['weight', 'oxygen']"
"A killer whale's heart doesn't beat 30 times a minute under water, 60 times a minute on the <extra_id_0>","A killer whale's heart beats 30 times a minute under water, 60 times a minute on the <extra_id_0>","['weight', 'oxygen']"
A watermellon doesn't have <extra_id_0>,A watermellon has <extra_id_0>,['seeds']
We don't have a <extra_id_0>,We have a <extra_id_0>,"['fingers', 'toes']"
We don't have <extra_id_0>,We have <extra_id_0>,"['fingers', 'toes']"
Willy doesn't have <extra_id_0>,Willy has <extra_id_0>,['kids']
Wilmington doesn't contain <extra_id_0>,Wilmington contains <extra_id_0>,['apartments']
Wolves don't have <extra_id_0>,Wolves have <extra_id_0>,['teeth']
The world doesn't have <extra_id_0>,The world has <extra_id_0>,"['water', 'life', 'mountains', 'continents', 'ecosystems', 'oceans']"
A zebra doesn't have <extra_id_0>,A zebra has <extra_id_0>,"['eyes', 'stripes']"
A zebra doesn't have a <extra_id_0>,A zebra has a <extra_id_0>,"['eyes', 'stripes']"
Zebras don't have <extra_id_0>,Zebras have <extra_id_0>,['stripes']
A map isn't for <extra_id_0>,A map is for <extra_id_0>,"['navigate', 'orienteering', 'navigating', 'information', 'locating']"
Thinking isn't for <extra_id_0>,Thinking is for <extra_id_0>,"['praying', 'geussing', 'projects', 'organizing', 'animals', 'reasoning', 'survival', 'being', 'deducing', 'predicting', 'entertainment', 'creativity', 'resolving', 'everyone', 'articulating', 'imaginging', 'synthesizing', 'sorting', 'pondering', 'robots', 'fun', 'learning', 'synchronizing', 'deliberating', 'AI', 'dogs', 'solving', 'reason', 'adapting', 'people', 'wondering', 'understanding']"
A graveyard isn't for <extra_id_0>,A graveyard is for <extra_id_0>,"['flowers', 'burial', 'headstones', 'mourners']"
Toilet isn't for <extra_id_0>,Toilet is for <extra_id_0>,"['pooping', 'peeing', 'poop', 'shitting', 'waste', 'urinate']"
Dancing isn't for some <extra_id_0>,Dancing is for some <extra_id_0>,"['Fun', 'performing', 'entertainment', 'people', 'pleasure', 'performance', 'ballerinas', 'exercise', 'celebration', 'flirting', 'socializing']"
A yoyo isn't for <extra_id_0>,A yoyo is for <extra_id_0>,"['entertainment', 'sleeping', 'enjoyment', 'spinning', 'play']"
A bomb isn't for <extra_id_0>,A bomb is for <extra_id_0>,"['war', 'kill', 'terror', 'detonate', 'terrorism', 'disposal', 'protesting', 'defusing', 'bombard', 'exploding', 'destruction']"
A snowflake isn't for <extra_id_0>,A snowflake is for <extra_id_0>,"['sledding', 'snowballs', 'decoration', 'snowpeople', 'skiing', 'percipitation']"
A cloud isn't for <extra_id_0>,A cloud is for <extra_id_0>,"['sleet', 'thunder', 'rain', 'oscure', 'snow', 'weather', 'hail', 'dreaming', 'shade']"
Procreating isn't for <extra_id_0>,Procreating is for <extra_id_0>,"['pleasure', 'sex', 'reproducing', 'fun', 'multiplying', 'evolution']"
A stone isn't for a <extra_id_0>,A stone is for a <extra_id_0>,"['weight', 'throw', 'throwing', 'tossing']"
Reproducing isn't for <extra_id_0>,Reproducing is for <extra_id_0>,"['cloning', 'adding', 'improvement', 'replicating', 'copying', 'reproduction', 'distributing', 'procreating', 'populating']"
A fruit isn't for <extra_id_0>,A fruit is for <extra_id_0>,"['decoration', 'eat', 'paring', 'cooking', 'eating', 'garnish', 'consumption']"
Remembering isn't for <extra_id_0>,Remembering is for <extra_id_0>,"['sadness', 'recalling', 'love', 'relating', 'thinking', 'comparing', 'knowing', 'happiness', 'reminicing', 'memory', 'learning']"
An eye isn't for <extra_id_0>,An eye is for <extra_id_0>,"['viewing', 'vision', 'blinking', 'learning', 'seing', 'looking', 'perceiving', 'blink', 'reading', 'winking', 'staring', 'crying']"
There isn't a relationship between light and <extra_id_0>,There is a relationship between light and <extra_id_0>,"['seeing', 'light', 'reading', 'sight', 'illumination']"
Cake doesn't have sweet <extra_id_0>,Cake has sweet <extra_id_0>,"['mixing', 'dessert', 'decorating', 'birthdays', 'celebrate', 'eat', 'serving', 'cooking', 'eating']"
A muscle isn't for <extra_id_0>,A muscle is for <extra_id_0>,"['flexing', 'constricting', 'walking', 'extension', 'lifting', 'moving', 'rotation', 'flexion', 'eating', 'walk']"
A castle isn't for <extra_id_0>,A castle is for <extra_id_0>,"['touring', 'fun', 'kings', 'exploring']"
A pill isn't for <extra_id_0>,A pill is for <extra_id_0>,"['vitamins', 'medicine', 'medication', 'headaches']"
A village isn't for <extra_id_0>,A village is for <extra_id_0>,"['Learning', 'Sleeping', 'Playing']"
A refill isn't for <extra_id_0>,A refill is for <extra_id_0>,"['softdrinks', 'replenish', 'orders', 'soda', 'tea', 'prescriptions', 'coffee', 'liqour']"
A curb isn't for a <extra_id_0>,A curb is for a <extra_id_0>,['roads']
Call isn't a type of <extra_id_0>,Call is a type of <extra_id_0>,"['communication', 'contact', 'communicating', 'communicate']"
A theatre isn't for <extra_id_0>,A theatre is for <extra_id_0>,"['war', 'movies', 'demonstration', 'events', 'audiences', 'performances', 'conferences', 'plays']"
A baritone isn't for <extra_id_0>,A baritone is for <extra_id_0>,"['singing', 'Blowing', 'music', 'Saxing']"
Kissing isn't for <extra_id_0>,Kissing is for <extra_id_0>,"['Fun', 'love', 'soothing', 'lovers', 'affection', 'adults', 'foreplay', 'symbolism', 'bonding', 'friendship', 'closeness', 'kinship']"
A wing isn't for <extra_id_0>,A wing is for <extra_id_0>,"['aerodynamics', 'raise', 'fly', 'flapping', 'airplanes', 'flying', 'flight', 'birds', 'aircraft']"
A roadway isn't for <extra_id_0>,A roadway is for <extra_id_0>,"['traveling', 'cars', 'cyclists', 'motorbikes']"
Learning isn't for <extra_id_0>,Learning is for <extra_id_0>,"['interest', 'education', 'maturing', 'preparation', 'everyone', 'improving', 'survival', 'money', 'knowing', 'advancing', 'fun', 'growing', 'dogs']"
A bathroom isn't for <extra_id_0>,A bathroom is for <extra_id_0>,"['pooping', 'shaving', 'peeing', 'grooming', 'washing', 'primping', 'oblutions']"
Jewelry isn't for <extra_id_0>,Jewelry is for <extra_id_0>,"['wearing', 'decoration', 'status', 'adornment']"
A caliper isn't for <extra_id_0>,A caliper is for <extra_id_0>,['measuring']
A rule isn't for <extra_id_0>,A rule is for <extra_id_0>,"['consistency', 'ruling', 'understanding']"
A bishop isn't for <extra_id_0>,A bishop is for <extra_id_0>,"['chess', 'religion', 'kill']"
Socialising isn't for <extra_id_0>,Socialising is for <extra_id_0>,"['friends', 'schmoozing', 'parties', 'networking', 'friendship', 'fun']"
A mall isn't for <extra_id_0>,A mall is for <extra_id_0>,"['eating', 'shop', 'walking', 'shopping']"
A seat isn't for <extra_id_0>,A seat is for <extra_id_0>,"['relax', 'waiting', 'reclining', 'comfort', 'relaxing', 'resting']"
A train isn't for <extra_id_0>,A train is for <extra_id_0>,['riding']
A loft isn't for <extra_id_0>,A loft is for <extra_id_0>,['sleeping']
A bureau isn't for <extra_id_0>,A bureau is for <extra_id_0>,"['drawers', 'storage', 'clothing', 'sachets', 'keepsakes']"
A cube isn't for <extra_id_0>,A cube is for <extra_id_0>,['play']
A barbecue isn't for a <extra_id_0>,A barbecue is for a <extra_id_0>,"['summertime', 'dinner', 'cooks', 'cook', 'families']"
Skiing isn't a type of <extra_id_0>,Skiing is a type of <extra_id_0>,"['sport', 'thrills', 'entertainment', 'pleasure', 'enjoyment', 'excitement', 'exersize', 'relaxation', 'winter', 'exercise', 'fun', 'competition', 'recreation']"
A tile isn't for <extra_id_0>,A tile is for <extra_id_0>,"['flooring', 'art', 'decoration', 'build']"
A gold isn't for <extra_id_0>,A gold is for <extra_id_0>,"['jewellry', 'jewelry', 'decoration', 'CPU']"
A boulevard isn't for <extra_id_0>,A boulevard is for <extra_id_0>,"['travel', 'walk', 'strolling', 'traffic']"
A restaurant isn't for <extra_id_0>,A restaurant is for <extra_id_0>,"['dinner', 'dining', 'drinking', 'eat', 'relaxing', 'eating', 'socializing', 'guests', 'partying']"
A necklace isn't for <extra_id_0>,A necklace is for <extra_id_0>,"['decoration', 'show', 'decorate', 'choke', 'jewelry', 'gifts', 'vanity', 'adornment']"
Bread isn't for <extra_id_0>,Bread is for <extra_id_0>,"['tearing', 'sandwiches', 'pudding', 'buttering', 'Toasting', 'eating', 'nutrition', 'consumption', 'baking']"
A brother isn't for <extra_id_0>,A brother is for <extra_id_0>,"['loving', 'pestering', 'friendship']"
A courthouse isn't for <extra_id_0>,A courthouse is for <extra_id_0>,['judges']
Sign isn't a type of <extra_id_0>,Sign is a type of <extra_id_0>,"['display', 'identification', 'orientation', 'advertisments', 'direction', 'advertising', 'directions']"
A piano isn't for <extra_id_0>,A piano is for <extra_id_0>,"['entertainment', 'listening', 'music', 'decoration', 'playing', 'teaching']"
A kitchenette isn't for <extra_id_0>,A kitchenette is for <extra_id_0>,"['cooking', 'cook']"
Gas isn't for <extra_id_0>,Gas is for <extra_id_0>,"['balloons', 'light', 'heat', 'burning', 'fuel', 'farting', 'cooking', 'exploding', 'burping', 'heating']"
A leather isn't for <extra_id_0>,A leather is for <extra_id_0>,"['shoes', 'belts', 'whips', 'tanning']"
A cymbal isn't for <extra_id_0>,A cymbal is for <extra_id_0>,"['banging', 'percussion']"
A party isn't for <extra_id_0>,A party is for <extra_id_0>,"['dancing', 'reunions', 'politics', 'relaxing', 'celebration', 'recreation']"
Eye doesn't have <extra_id_0>,Eye has <extra_id_0>,"['viewing', 'vision', 'blinking', 'learning', 'seing', 'looking', 'perceiving', 'blink', 'reading', 'winking', 'staring', 'crying']"
A nose isn't for <extra_id_0>,A nose is for <extra_id_0>,"['breathe', 'breathing', 'picking', 'breaking', 'piercing']"
A mayor isn't for <extra_id_0>,A mayor is for <extra_id_0>,"['leadership', 'direction', 'govern', 'help', 'council']"
A bowl isn't for <extra_id_0>,A bowl is for <extra_id_0>,"['apples', 'serve', 'cereal', 'hold', 'grapes', 'Wheaties', 'Sugar', 'soup']"
A diamond isn't for an <extra_id_0>,A diamond is for an <extra_id_0>,"['ever', 'cutting', 'giving', 'show', 'jewelry', 'drill']"
A mill isn't for <extra_id_0>,A mill is for <extra_id_0>,"['pulverizing', 'crunch', 'crush', 'mill', 'dispensing', 'grinding', 'shaping', 'flour', 'crushing']"
Surveillance isn't for <extra_id_0>,Surveillance is for <extra_id_0>,['blackmailing']
A field isn't for <extra_id_0>,A field is for <extra_id_0>,"['ploughing', 'walking']"
A cake isn't for <extra_id_0>,A cake is for <extra_id_0>,"['mixing', 'dessert', 'decorating', 'birthdays', 'celebrate', 'eat', 'serving', 'cooking', 'eating']"
A skylight isn't for the <extra_id_0>,A skylight is for the <extra_id_0>,['lighting']
A piccolo isn't for <extra_id_0>,A piccolo is for <extra_id_0>,['playing']
A landmark isn't for <extra_id_0>,A landmark is for <extra_id_0>,"['viewing', 'noticing', 'learn', 'orientation', 'navigate', 'visiting', 'admiring']"
A voyage isn't for <extra_id_0>,A voyage is for <extra_id_0>,['travel']
A tablecloth isn't for <extra_id_0>,A tablecloth is for <extra_id_0>,['decoration']
A solicitor isn't for <extra_id_0>,A solicitor is for <extra_id_0>,"['conveyancing', 'litigation']"
Reading isn't for <extra_id_0>,Reading is for <extra_id_0>,"['enlightenment', 'entertainment', 'pleasure', 'education', 'enjoyment', 'relaxation', 'research', 'studying', 'knowing', 'fun', 'acculturation', 'understanding']"
Tweed isn't for <extra_id_0>,Tweed is for <extra_id_0>,"['trousers', 'hats', 'loosers']"
A space isn't for <extra_id_0>,A space is for <extra_id_0>,"['storage', 'seperation', 'occupying', 'filling', 'parking']"
An apple isn't for <extra_id_0>,An apple is for <extra_id_0>,"['dessert', 'computing', 'eating', 'munching', 'pie']"
Trix isn't for <extra_id_0>,Trix is for <extra_id_0>,['kids']
Crop isn't corn <extra_id_0>,Crop is corn <extra_id_0>,"['growing', 'eating', 'nutrition', 'planting', 'baking']"
A trunk isn't for <extra_id_0>,A trunk is for <extra_id_0>,"['storage', 'support']"
Dancing isn't for <extra_id_0>,Dancing is for <extra_id_0>,"['Fun', 'performing', 'entertainment', 'people', 'pleasure', 'performance', 'ballerinas', 'exercise', 'celebration', 'flirting', 'socializing']"
Scenery isn't for <extra_id_0>,Scenery is for <extra_id_0>,"['watch', 'relax', 'enjoying']"
A cake isn't for a <extra_id_0>,A cake is for a <extra_id_0>,"['mixing', 'dessert', 'decorating', 'birthdays', 'celebrate', 'eat', 'serving', 'cooking', 'eating']"
Silk isn't for <extra_id_0>,Silk is for <extra_id_0>,"['boxers', 'clothing', 'bedsheets', 'shirts', 'nighties', 'slips', 'fingernails']"
Literature isn't for <extra_id_0>,Literature is for <extra_id_0>,"['read', 'entertainment', 'pleasure', 'remembering', 'illustrate', 'education', 'studying', 'reading', 'relaxing', 'teaching', 'learning']"
Marijuana isn't for <extra_id_0>,Marijuana is for <extra_id_0>,"['pleasure', 'fun', 'entertainment']"
Spoon isn't for <extra_id_0>,Spoon is for <extra_id_0>,"['Drinking', 'flinging', 'eat', 'Eating']"
A voice isn't for <extra_id_0>,A voice is for <extra_id_0>,"['communication', 'shout', 'whispering', 'remembering', 'Talking', 'shouting', 'communicate', 'Singing', 'sing', 'Commmunicating', 'recording', 'humming', 'communicating']"
A metal isn't for <extra_id_0>,A metal is for <extra_id_0>,"['casting', 'machining', 'machinery', 'strength', 'melting']"
Literature isn't type <extra_id_0>,Literature is type <extra_id_0>,"['read', 'entertainment', 'pleasure', 'remembering', 'illustrate', 'education', 'studying', 'reading', 'relaxing', 'teaching', 'learning']"
Bread isn't wheat <extra_id_0>,Bread is wheat <extra_id_0>,"['harvesting', 'food', 'flour', 'eating', 'cake']"
A yard isn't for <extra_id_0>,A yard is for <extra_id_0>,"['Measuring', 'playing', 'storage']"
A column isn't for <extra_id_0>,A column is for <extra_id_0>,"['vehicles', 'decoration', 'support']"
A runway isn't for <extra_id_0>,A runway is for <extra_id_0>,['airshows']
A tooth isn't for <extra_id_0>,A tooth is for <extra_id_0>,"['tearing', 'killing', 'frightening', 'straining', 'splitting', 'grinding', 'masticating', 'crushing', 'sawing', 'piercing', 'fillings', 'eating', 'ripping', 'griding', 'gripping', 'cavities']"
Cleaning isn't for <extra_id_0>,Cleaning is for <extra_id_0>,"['sanitation', 'cleanliness', 'tidiness', 'hygiene', 'organization']"
Sewing isn't for <extra_id_0>,Sewing is for <extra_id_0>,"['fun', 'mending']"
A shirt isn't for <extra_id_0>,A shirt is for <extra_id_0>,"['dressing', 'wearing', 'uniformity', 'warmth', 'covering', 'advertisement']"
A barbecue isn't for <extra_id_0>,A barbecue is for <extra_id_0>,"['summertime', 'dinner', 'cooks', 'cook', 'families']"
A minibar isn't for <extra_id_0>,A minibar is for <extra_id_0>,"['dancing', 'drink', 'drinking', 'sliding', 'beer', 'fighting', 'partying']"
Fabric isn't for <extra_id_0>,Fabric is for <extra_id_0>,"['rags', 'Fibreglass', 'clothing', 'Curtains', 'sewing', 'upholstery', 'Sails']"
Dreaming isn't for <extra_id_0>,Dreaming is for <extra_id_0>,"['enlightenment', 'predicting', 'yukon', 'fantasizing', 'fun', 'visualizing']"
Sometimes don't reading a book causes <extra_id_0>,Sometimes reading a book causes <extra_id_0>,"['enlightenment', 'entertainment', 'pleasure', 'education', 'enjoyment', 'relaxation', 'research', 'studying', 'knowing', 'fun', 'acculturation', 'understanding']"
A stage isn't for <extra_id_0>,A stage is for <extra_id_0>,"['plays', 'bands', 'music', 'performances']"
A rock isn't for <extra_id_0>,A rock is for <extra_id_0>,"['throwing', 'kicking', 'mining', 'decoration', 'gravel', 'hurling', 'hitting']"
A lip isn't for <extra_id_0>,A lip is for <extra_id_0>,"['pleasure', 'whistling', 'speak', 'suck', 'pouring', 'protect']"
Eye isn't a type of <extra_id_0>,Eye is a type of <extra_id_0>,"['viewing', 'vision', 'blinking', 'learning', 'seing', 'looking', 'perceiving', 'blink', 'reading', 'winking', 'staring', 'crying']"
Singing isn't for <extra_id_0>,Singing is for <extra_id_0>,"['entertainment', 'celebrating', 'individuals', 'entertaining', 'enjoyment', 'lamenting', 'groups', 'birds', 'fun']"
Childhhood isn't for <extra_id_0>,Childhhood is for <extra_id_0>,['playing']
A rifle isn't for <extra_id_0>,A rifle is for <extra_id_0>,"['war', 'killing', 'murder', 'shooting', 'hunting', 'hunt', 'protection']"
A text isn't for <extra_id_0>,A text is for <extra_id_0>,"['explaining', 'study', 'reflection', 'analyzing', 'studying', 'stufying', 'teaching', 'learning']"
A sofa isn't for <extra_id_0>,A sofa is for <extra_id_0>,"['relax', 'people', 'sleeping', 'comfort', 'relaxing', 'fucking', 'lounging', 'seat']"
A revolver isn't for <extra_id_0>,A revolver is for <extra_id_0>,"['displaying', 'firing', 'security', 'robbery', 'protection']"
A dustbin isn't for <extra_id_0>,A dustbin is for <extra_id_0>,"['rubbish', 'trash', 'garbage']"
A university isn't where people <extra_id_0>,A university is where people <extra_id_0>,"['learn', 'study', 'degree', 'research', 'cooperation', 'teaching', 'learning']"
A lantern isn't for <extra_id_0>,A lantern is for <extra_id_0>,"['illumination', 'light', 'decoration']"
Painting isn't for <extra_id_0>,Painting is for <extra_id_0>,"['refurbishing', 'decorating', 'finishing', 'relaxing', 'Art', 'leisure', 'relaxation', 'pastime', 'growth', 'decoration', 'improving', 'artists', 'expression', 'aesthetics', 'recreation', 'tranquility']"
A noise isn't for <extra_id_0>,A noise is for <extra_id_0>,['warning']
An arena isn't for <extra_id_0>,An arena is for <extra_id_0>,"['meeting', 'competitions', 'compete', 'concerts', 'fight', 'sports', 'competition', 'gatherings', 'fighting']"
A spirit isn't for <extra_id_0>,A spirit is for <extra_id_0>,"['healing', 'religion', 'guidence', 'Haunting', 'drinking', 'celebrate', 'breaking', 'comradship']"
Stone isn't a type of english <extra_id_0>,Stone is a type of english <extra_id_0>,"['weight', 'throw', 'throwing', 'tossing']"
A mandolin isn't for <extra_id_0>,A mandolin is for <extra_id_0>,"['tuning', 'playing', 'entertain', 'music']"
